번호,시설물명,위치(주소),위도,경도,설치면적,종류,제조사,설치연도,관리기관,전화번호,데이터기준일자
진부22,하진부리 호명교 아래 소공원,강원도 평창군 진부면 하진부리 13-4,37.643957,128.567682,16,"어깨팔늘리기+옆으로몸통흔들기+자전거타기+허리돌리기(입식,좌식)+공중걷기+마사지+옆으로몸통흔들기+큰팔돌리기+입식허리돌리기+공중걷기",에스엠뷰텍,2015,평창군 진부면사무소,033-330-2607,2022-09-30
진부23,수항리 경로당 옆,강원도 평창군 진부면 수항리 268-2,37.559635,128.563499,8,허리돌리기+파도타기+체스트업머신+체스트다운머신+오버헤드폴리머신+워킹트레이너머신,월드스포츠산업,2015,평창군 진부면사무소,033-330-2607,2022-09-30
진부24,송정5리 관리사무소 야외운동기구,강원도 평창군 진부면 송정5리 2538 관리사무소 뒤편,37.635799,128.562731,4,오버헤드폴리머신+싸이클머신+큰활차머신+싣업머신,월드스포츠산업,2015,평창군 진부면사무소,033-330-2607,2022-09-30
진부25,두일2리 마을회관 앞,강원도 평창군 진부면 두일리 429-1,37.67257,128.535385,8,입식허리돌리기+자전거타기+달리기운동+공중걷기,에스엠뷰텍,2015,평창군 진부면사무소,033-330-2607,2022-09-30
진부27,하진부5리 ,강원도 평창군 진부면 하진부리 42-2(태장위너빌),37.642838,128.561317,4,스윙워커+트위스트머신+서핑롤링머신+오버헤드폴리머신,월드스포츠산업,2016,평창군 진부면사무소,033-330-2607,2022-09-30
진부28,거문리 마을회관 ,강원도 평창군 진부면 거문리 251,37.602774,128.531743,4,스윙워커+트위스트머신+서핑롤링머신+오버헤드폴리머신,,2016,평창군 진부면사무소,033-330-2607,2022-09-30
진부29,신기리 ,강원도 평창군 진부면 신기봉산로 229-3,37.593039,128.555188,4,"등기대자전거타기+입식허리돌리기+어깨, 팔늘리기+역기올리기",에스엠뷰텍,2016,평창군 진부면사무소,033-330-2607,2022-09-30
진부3,석두산 등산로 산림욕장 야외운동기구,강원도 평창군 진부면 하진부리 산16 산림욕장,37.643234,128.550281,2,철봉,,,평창군 진부면사무소,033-330-2607,2022-09-30
진부30,장전리 ,강원도 평창군 진부면 장전리 65-1,37.486501,128.542503,4,스윙워커+트위스트머신+써핑롤링머신+오버헤드폴리머신,월드스포츠산업,2016,평창군 진부면사무소,033-330-2607,2022-09-30
진부31,척천리 ,강원도 평창군 진부면 척천리 99-4,37.697439,128.53368,4,스윙워커+트위스트머신+써핑롤링머신+오버헤드폴리머신,월드스포츠산업,2016,평창군 진부면사무소,033-330-2607,2022-09-30
진부32,하진부6리 ,강원도 평창군 진부면 하진부리 261-18(마을쉼터),37.634809,128.553215,4,스윙워커+트위스트머신+써핑롤링머신+오버헤드폴리머신,월드스포츠산업,2016,평창군 진부면사무소,033-330-2607,2022-09-30
진부33,하진부 9리 ,강원도 평창군 진부면 하진부리 371-3(마을쉼터),37.631096,128.550712,4,스윙워커+트위스트머신+써핑롤링머신+오버헤드폴리머신,월드스포츠산업,2016,평창군 진부면사무소,033-330-2607,2022-09-30
진부34,진부면 노인분회 ,강원도 평창군 진부면 하진부리 252(강원도 평창군 진부면 노인분회),37.636754,128.552399,6,트위스트머신+위킹트레이닝머신+써핑롤링머신+오버헤드폴리머신+큰활자머신+헤드프레스머신,월드스포츠산업,2017,평창군 진부면사무소,033-330-2607,2022-09-30
진부35,상진부3리 경로당 ,강원도 평창군 진부면 상진부리 250-59(상진부3리 경로당 앞),37.647419,128.567587,4,스윙워커+오버헤드폴리머신+트위스트머신+큰활자머신,월드스포츠산업,2017,평창군 진부면사무소,033-330-2607,2022-09-30
진부36,상월오개2리 ,강원도 평창군 진부면 상월오개리 421,37.621507,128.523652,4,옆으로몸통흔들기+큰팔돌리기+달리기+입식허리돌리기,에스엠뷰텍,2017,평창군 진부면사무소,033-330-2607,2022-09-30
진부37,오대정 ,강원도 평창군 진부면 하진부리 1299-1(오대정),37.643082,128.544077,4,트위스트머신+써핑롤링머신+큰활자머신+스윙워커머신,월드스포츠산업,2017,평창군 진부면사무소,033-330-2607,2022-09-30
진부38,척천리 ,강원도 평창군 진부면 척천리 283-1,37.702595,128.523584,2,큰활자머신+레그프레스머신,월드스포츠산업,2017,평창군 진부면사무소,033-330-2607,2022-09-30
진부39,장전리 ,강원도 평창군 진부면 마을등산로 입구(산1),37.478083,128.541559,2,큰활자머신+싣업머신,월드스포츠산업,2017,평창군 진부면사무소,033-330-2607,2022-09-30
진부4,하진부1리 체육공원 야외운동기구,강원도 평창군 진부면 하진부리 1289-46 농구장 옆,37.629668,128.555262,12,"역기올리기+역기내리기+달리기운동+공중걷기+양팔로프당기기+등,허리근육풀기",경일산업,2013,평창군 진부면사무소,033-330-2607,2022-09-30
진부40,하진부9리 쉼터,강원도 평창군 진부면 하진부리 263-8,37.635547,128.549949,6,크로스컨트리+워밍암+롤링웨이스트,디자인파크개발,,평창군 진부면사무소,033-330-2607,2022-09-30
진부42,탑동리 마을회관,강원도 평창군 진부면 탑동리 234,37.710239,128.551317,4,써핑롤+스위워커머신+트위스트머신+큰활차머신,월드스포츠산업,2018,평창군 진부면사무소,033-330-2607,2022-09-30
진부43,송정1리 마을회관 앞,강원도 평창군 진부면 송정리 1375,37.646599,128.575827,4,롤링웨이스트+스텝싸이클+체어웨이트+트위스트,이지데코,2019,평창군 진부면사무소,033-330-2607,2022-09-30
진부44,호명리 호랑이공원,강원도 평창군 진부면 호명리 962-3,37.65269,128.579494,4,롤링웨이스트+스텝싸이클+오버헤드풀러,이지데코,2019,평창군 진부면사무소,033-330-2607,2022-09-30
진부45,하진부2리 마을회관 앞,강원도 평창군 진부면 하진부리 694-4,37.648407,128.536048,4,체어웨이트+트위스트+롤링웨이스트+스텝사이클,이지데코,2019,평창군 진부면사무소,033-330-2607,2022-09-30
진부46,하진부3리 ,강원도 평창군 진부면 하진부리 447-3,37.617388,128.543807,4,트위스트+스텝싸이클+롤링웨이스트+크로스컨트리,이지데코,2019,평창군 진부면사무소,033-330-2607,2022-09-30
진부47,신기리 마을회관 앞,강원도 평창군 진부면 신기리 116-4,37.593851,128.565857,4,오버헤드풀러+스텝싸이클+트위스트+크로스컨트리,이지데코,2019,평창군 진부면사무소,033-330-2607,2022-09-30
진부48,송정3리 석미아파트,강원도 평창군 진부면 송정리 2537,37.63761,128.563765,4,오버헤드풀러+워밍암+체어풀+스텝싸이클,이지데코,2019,평창군 진부면사무소,033-330-2607,2022-09-30
진부49,송정4리 소공원,강원도 평창군 진부면 송정리 2531,37.632792,128.561474,4,오버헤드풀러+스텝싸이클+트위스트+크로스컨트리,이지데코,2019,평창군 진부면사무소,033-330-2607,2022-09-30
진부5,하진부2리 산촌생태관 공터,강원도 평창군 진부면 하진부리 894-1 산촌생태관,37.643953,128.537424,8,윗몸일으키기+상체근육풀기+공중걷기+오금펴기,경일산업,2013,평창군 진부면사무소,033-330-2607,2022-09-30
진부50,송정5리 성원아파트,강원도 평창군 진부면 송정리 2538,37.635799,128.562731,4,트위스트+스텝싸이클+풀웨이트+크로스컨트리,이지데코,2019,평창군 진부면사무소,033-330-2607,2022-09-30
진부51,송정1리 정자각,강원도 평창군 진부면 송정리 1210,37.64727,128.57605,4,써핑롤+스윙워커머신+트위스트머신+큰활차머신,월드스포츠산업㈜,2018,평창군 진부면사무소,033-330-2607,2022-09-30
진부52,거문리 소규모 운동시설,강원도 평창군 진부면 거문리 650,37.60677,128.50322,4,달리기+자전거타기+옆으로몸통흔들기+어깨팔늘리기,,2020,평창군 진부면사무소,033-330-2607,2022-09-30
진부53,하진부4리 소공원 야외운동기구,강원도 평창군 진부면 하진부리 128-39,37.63546,128.5559,4,트위스트머신+워킹맘머신+오체어플+스텝싸이클,㈜월드스포츠사업,2020,평창군 진부면사무소,033-330-2607,2022-09-30
진부54,막동리 마을회관 야외운동기구,강원도 평창군 진부면 막동리 산1,37.51122,128.56041,4,트위스트머신+워킹맘머신+오체어플+스텝싸이클,㈜월드스포츠사업,2020,평창군 진부면사무소,033-330-2607,2022-09-30
진부55,하진부11리 야외운동기구,강원도 평창군 진부면 하진부리 166-5(시대아파트 정문옆 정자),37.63625,128.55461,4,트위스트머신+스위워킹머신+오버헤드폴리머신+싸이클머신,㈜월드스포츠사업,2020,평창군 진부면사무소,033-330-2607,2022-09-30
진부56,하진부9리 소공원 야외운동기구,강원도 평창군 진부면 하진부리 263-8,37.63574,128.54946,2,워킹트레이드머신+오버헤드폴리머신,㈜월드스포츠사업,2020,평창군 진부면사무소,033-330-2607,2022-09-30
진부57,하진부2리 정자앞 야외운동기구,강원도 평창군 진부면 하진부리 689-2,37.63877,128.54456,2,오버헤드머신+워킹트레이너머신,㈜월드스포츠사업,2020,평창군 진부면사무소,033-330-2607,2022-09-30
진부58,동산리 경로당 앞 야외운동기구,강원도 평창군 진부면 동산리 26-5,37.7147,128.59813,4,스위워킹머신+오버헤드머신+트위스트머신+워킹트레이너머신,㈜월드스포츠사업,2020,평창군 진부면사무소,033-330-2607,2022-09-30
진부59,호명리 공원 야외운동기구,강원도 평창군 진부면 호명리 965-3,37.65259,128.57959,2,온몸노젓기+어깨근육풀기+하늘걷기+윗몸일으키기,㈜케이엘에스,,평창군 진부면사무소,033-330-2607,2022-09-30
진부6,하진부5리 마을입구 공원,강원도 평창군 진부면 하진부리 1289-36 입구 공원,37.64067,128.561595,4,허리돌리기+공중걷기,경일산업,2013,평창군 진부면사무소,033-330-2607,2022-09-30
진부60,마평2리 야외운동기구,강원도 평창군 진부면 상마평길 9-2(청심교 옆),37.58266,128.55154,4,달리기+허리돌리기+온몸근육풀기+하체흔들기,㈜삼형스포메디,,평창군 진부면사무소,033-330-2607,2022-09-30
진부61,송정2리 야외운동기구,강원도 평창군 진부면 송정리 2390-1,37.62844,128.55643,4,트위스트머신+오버헤드폴리머신+스윙워킹머신+써핑홀링머신,㈜월드스포츠사업,,평창군 진부면사무소,033-330-2607,2022-09-30
진부62,하진부7리 소공원,강원도 평창군 진부면 하진부리 206-11,37.63853,128.55778,4,트위스트머신+스윙워킹머신+오버헤드머신+큰활자머신,,2021,평창군 진부면사무소,033-330-2607,2022-09-30
진부7,하진부5리 대관령빌라 앞,강원도 평창군 진부면 하진부리 1292 대관령빌라 입구,37.642838,128.561317,6,윗몸일으키기+어깨유연성운동+마라톤운동+허리돌리기,경일산업,2013,평창군 진부면사무소,033-330-2607,2022-09-30
진부8,하진부9리 쉼터,강원도 평창군 진부면 하진부리 263-8,37.635547,128.549949,6,스텝싸이클+레그프레스+체어플,디자인파크개발,,평창군 진부면사무소,033-330-2607,2022-09-30
진부9,상진부1리 마을회관 앞,강원도 평창군 진부면 상진부리 907 마을회관 앞,37.659472,128.550805,10,오금펴기+허리돌리기+노젓기운동+상체근육풀기+역기올리기,경일산업,2013,평창군 진부면사무소,033-330-2607,2022-09-30
평창1,상리 공원 ,강원도 평창군 평창읍 상리 공원,37.366057,128.407922,12,다리뻗치기+어깨근육풀기+온몸역기올리기+하늘걷기+마라톤+윗몸일으키기,,2010,평창군 평창읍사무소,033-330-2680,2022-09-30
평창10,종부3리 마을회관 ,강원도 평창군 평창읍 종부3리 마을회관,37.353255,128.398955,6,온몸돌리기+양팔줄당기기+옆파도타기,,2010,평창군 평창읍사무소,033-330-2680,2022-09-30
평창11,여만리 제방 ,강원도 평창군 평창읍 여만리 347-1,37.377151,128.39939,8,하늘걷기+등허리지압기+옆파도타기+양팔줄당기기,,2010,평창군 평창읍사무소,033-330-2680,2022-09-30
평창12,향동리 마을회관 ,강원도 평창군 평창읍 향동리 3-1,37.377891,128.383961,4,자전거+온몸돌리기,,2012,평창군 평창읍사무소,033-330-2680,2022-09-30
평창13,향동리 공원 ,강원도 평창군 평창읍 향동리 공원,37.379586,128.372195,4,하늘걷기+옆파도타기,,2012,평창군 평창읍사무소,033-330-2680,2022-09-30
평창14,후평리 마을회관 ,강원도 평창군 평창읍 후평리 386,37.38931,128.39096,12,하늘걷기+양팔줄당기기+윗몸일으키기+온몸돌리기+어깨근육풀기+온몸역기올리기,,2012,평창군 평창읍사무소,033-330-2680,2022-09-30
평창15,계장리 마을회관 ,강원도 평창군 평창읍 계장리 194,37.39253,128.37782,8,어깨근육풀기+하늘걷기+등허리지압기+마라톤,평창종합상사,2013,평창군 평창읍사무소,033-330-2680,2022-09-30
평창16,다수리 다수분교 앞 ,강원도 평창군 평창읍 다수리 500-2,37.395031,128.365525,8,온몸역기올리기+옆파도타기+어깨근육풀기+양팔줄당기기,,2011,평창군 평창읍사무소,033-330-2680,2022-09-30
평창17,하일리 하일삼거리 ,강원도 평창군 평창읍 하일리 227-1,37.39491,128.347689,12,마라톤+등허리지압기+하늘걷기+어깨근육풀기+양팔줄당기기+옆파도타기,평창종합상사+정스포츠,2013,평창군 평창읍사무소,033-330-2680,2022-09-30
평창18,원당리 시온산장 입구 ,강원도 평창군 평창읍 원당리 261-4,37.402085,128.329776,8,양팔줄당기기+하늘걷기+온몸돌리기+옆파도타기,정스포츠,2010,평창군 평창읍사무소,033-330-2680,2022-09-30
평창19,뇌운리 뇌운공원 ,강원도 평창군 평창읍 건강마을길 67,37.424791,128.368067,6,온몸돌리기+하늘걷기+온몸역기올리기,,2012,평창군 평창읍사무소,033-330-2680,2022-09-30
평창2,상리 마을회관 ,강원도 평창군 평창읍 상리 268-4,37.367399,128.41619,8,양팔줄당기기+좌우허리운동+마라톤+온몸허리돌리기,㈜케이엘에스,2014,평창군 평창읍사무소,033-330-2680,2022-09-30
평창20,유동리 마을회관 ,강원도 평창군 평창읍 둥지버들길 42-7,37.34836,128.37823,20,양팔줄당기기+옆파도타기+마라톤+온몸돌리기+상체운동+등허리지압기+윗몸일으키기+어깨근육풀기+다리운동+스트레칭,㈜케이엘에스,2014,평창군 평창읍사무소,033-330-2680,2022-09-30
평창21,약수리 마을회관 ,강원도 평창군 평창읍 약수리 52-7,37.343696,128.371505,14,양팔줄당기기+옆파도타기+윗몸일으키기+어깨근육풀기+하늘걷기+오금펴기+자전거,,2014,평창군 평창읍사무소,033-330-2680,2022-09-30
평창22,임하리 마을회관 ,강원도 평창군 평창읍 임하리 338,37.394569,128.38193,12,어깨근육풀기+하늘걷기+마라톤+양팔줄당기기+온몸돌리기+옆파도타기,정스포츠+㈜플레이랜드,2013,평창군 평창읍사무소,033-330-2680,2022-09-30
평창23,용향리 경로당 ,강원도 평창군 평창읍 용향리 125-6,37.399554,128.394763,8,어깨근육풀기+하늘걷기+마라톤+등허리지압기,평창종합상사,2013,평창군 평창읍사무소,033-330-2680,2022-09-30
평창24,조둔리 조둔교 공터 ,강원도 평창군 평창읍 조둔리 494,37.354763,128.362208,6,어깨근육풀기+온몸돌리기+마라톤,,,평창군 평창읍사무소,033-330-2680,2022-09-30
평창25,중2리 읍사무소 ,강원도 평창군 평창읍 노성로 127,37.368596,128.397499,5,옆파도타기,㈜플레이랜드,2014,평창군 평창읍사무소,033-330-2680,2022-09-30
평창26,주진1리 공원 ,강원도 평창군 평창읍 주진리 627-2,37.394579,128.402102,20,하늘걷기+오금펴기+마라톤+온몸돌리기+허리돌리기+등허리지압기+자전거+어깨근육풀기+옆파도타기+어깨근육풀기,,2012,평창군 평창읍사무소,033-330-2680,2022-09-30
평창27,주진2리 마을회관 ,강원도 평창군 평창읍 찬샘내기2길 85,37.406389,128.41359,8,등허리지압기+마라톤+어깨근육풀기+하늘걷기,,2008,평창군 평창읍사무소,033-330-2680,2022-09-30
평창28,후평리 상하수도사업소 옆 ,강원도 평창군 평창읍 후평리 622,37.382271,128.387889,6,온몸돌리기+오금펴기+마라톤,,,평창군 평창읍사무소,033-330-2680,2022-09-30
평창29,약수리 약수터 ,강원도 평창군 평창읍 약수리 117-1,37.347947,128.370824,12,옆파도타기+양팔줄당기기+마라톤+온몸돌리기+어깨근육풀기+온몸근육풀기,㈜케이엘에스,2014,평창군 평창읍사무소,033-330-2680,2022-09-30
평창3,천변리 ,강원도 평창군 평창읍 천변리 12-18,37.366613,128.3986,8,하늘걷기+온몸역기올리기+온몸허리돌리기+마라톤,,2010,평창군 평창읍사무소,033-330-2680,2022-09-30
평창30,대상리 마을회관 ,강원도 평창군 평창읍 평창강로 454-13,37.330677,128.346676,8,마라톤+온몸돌리기+옆파도타기+양팔줄당기기,㈜케이엘에스,2014,평창군 평창읍사무소,033-330-2680,2022-09-30
평창31,응암리 체험관 ,강원도 평창군 평창읍 응암리 57,37.326231,128.383849,2,온몸돌리기,,,평창군 평창읍사무소,033-330-2680,2022-09-30
평창32,응암리 매화마을쉼터 ,강원도 평창군 평창읍 응암리 70-1,37.326709,128.385784,20,어깨근육풀기+옆파도타기+하늘걷기+양팔줄당기기+온몸돌리기+마라톤+윗몸일으키기+상체운동+등허리지압기+오금펴기,,,평창군 평창읍사무소,033-330-2680,2022-09-30
평창33,이곡리 마을회관 ,강원도 평창군 평창읍 이곡리 461,37.372801,128.441853,8,마라톤+온몸돌리기+옆파도타기+양팔줄당기기,㈜케이엘에스,2014,평창군 평창읍사무소,033-330-2680,2022-09-30
평창34,마지2리 마을회관 ,강원도 평창군 평창읍 마지리 578,37.372808,128.441832,4,옆파도타기+온몸돌리기,㈜플레이랜드,2014,평창군 평창읍사무소,033-330-2680,2022-09-30
평창35,도돈리 제방 ,강원도 평창군 평창읍 도돈리 402-1,37.328762,128.364093,4,온몸돌리기+옆파도타기,㈜플레이랜드,2014,평창군 평창읍사무소,033-330-2680,2022-09-30
평창36,도돈리 경로당 ,강원도 평창군 평창읍 도돈리 36-9,37.325244,128.369006,4,하늘걷기+싸이클링,㈜아이세상,2019,평창군 평창읍사무소,033-330-2680,2022-09-30
평창37,하1리 ,강원도 평창군 평창읍 하리 43-1,37.367023,128.396751,56,싸이클링+오금펴기KW-SF-26+하늘걷기+허리돌리기KW-SF-29,Proteus+동아스포츠,2016,평창군 평창읍사무소,033-330-2680,2022-09-30
평창38,하5리 평창밧데리 뒤,강원도 평창군 평창읍 하리 435-34,37.36731859,128.3911669,30,윗몸일으키기KW-SF-10+역기올리기+역기내리기KW-SF-23,승리체육공사+Jkexer,2016,평창군 평창읍사무소,033-330-2680,2022-09-30
평창39,노산 ,강원도 평창군 평창읍 하리 10,37.371045,128.399423,140,공중걷기+달리기SP-MS01+허리돌리기SP-M10+역기내리기SP-M05+자유평행봉SP-M13,㈜엠지스포츠,2016,평창군 평창읍사무소,033-330-2680,2022-09-30
평창4,바위공원 ,강원도 평창군 평창읍 중리 8-3,37.377073,128.409311,14,마라톤+등허리지압기+윗몸일으키기+온몸허리돌리기+옆파도타기하늘걷기+어깨근육풀기,,2010,평창군 평창읍사무소,033-330-2680,2022-09-30
평창40,노산 ,강원도 평창군 평창읍 하리 19,37.871372,128.398202,10,공중걷기+허리돌리기SO-MS05+윗몸일으키기SP-M11,㈜엠지스포츠,2016,평창군 평창읍사무소,033-330-2680,2022-09-30
평창41,천동리 마을회관 운동시설,강원도 평창군 평창읍 천동리 266-2,37.334428,128.375116,6,공중걷기+허리돌리기SO-MS05+큰활차머신+달리기SP-MS06,㈜엠지스포츠,2016,평창군 평창읍사무소,033-330-2680,2022-09-30
평창42,뇌운리 ,강원도 평창군 평창읍 뇌운리 99-6,37.424871,128.368057,4,파도다키+공중걷기,엠지스포츠,2017,평창군 평창읍사무소,033-330-2680,2022-09-30
평창43,조동리 경로당 ,강원도 평창군 평창읍 조동리 175-9,37.38871,128.452368,12,온몸근육풀기+마라톤+온몸역기내리기+온몸역기올리기+다리뻗치기+온몸허리돌리기,㈜케이엘에스,2018,평창군 평창읍사무소,033-330-2680,2022-09-30
평창44,여만리 마을회관 ,강원도 평창군 평창읍 여만리 311-1,37.379311,128.400855,12,온몸근육풀기+다리뻗치기+온몸역기내리기+온몸역기올리기+옆파도타기+하늘걷기,㈜케이엘에스,2018,평창군 평창읍사무소,033-330-2680,2022-09-30
평창45,유동둔치 휴양지 ,강원도 평창군 평창읍 유동리 282-1,37.344441,128.387085,4,하늘걷기,㈜아이세상,2017,평창군 평창읍사무소,033-330-2680,2022-09-30
평창46,중리 제일교회 앞 ,강원도 평창군 평창읍 중리 298-2,37.368309,128.399764,24,달리기+공중걷기+노젓기+당기기+등허리지압+윗몸일으키기+온몸근육풀기+하체흔들기+앞으로밀기+다리밀기+싸이클+허리돌리기,㈜삼형스포메디,2016,평창군 평창읍사무소,033-330-2680,2022-09-30
평창47,남산산림욕장 ,강원도 평창군 평창읍 상리 산 48-1,37.364507,128.393267,12,노젓기+허리돌리기+자전거,청양조경,2013,평창군 평창읍사무소,033-330-2680,2022-09-30
평창49,주진2리 마을공원 ,강원도 평창군 평창읍 주진리 625,37.409374,128.415501,8,온몸허리돌리기+어깨근육풀기,㈜케이엘에스,2008,평창군 평창읍사무소,033-330-2680,2022-09-30
평창5,하2리 놀이터 ,강원도 평창군 평창읍 하리 410-27,37.367071,128.381451,6,하늘걷기+어깨돌리기+허리돌리기,,2012,평창군 평창읍사무소,033-330-2680,2022-09-30
평창50,마지1리 거슬갑산권역 문화센터 ,강원도 평창군 평창읍 마지리 286-1,37.321801,128.378957,12,달리기+공중걷기+어깨유연성운동+허리돌리기,시그마조경체육건설㈜,2018,평창군 평창읍사무소,033-330-2680,2022-09-30
평창51,입탄리 정자 ,강원도 평창군 평창읍 입탄리 14-3,37.346618,128.352507,4,하늘걷기+옆파도타기,㈜아이세상,2019,평창군 평창읍사무소,033-330-2680,2022-09-30
평창52,고길리 마을회관 ,강원도 평창군 평창읍 고길리 267,37.406054,128.455814,4,허리돌리기+옆으로몸통흔들기+공중걷기+달리기,가인조경,2019,평창군 평창읍사무소,033-330-2680,2022-09-30
평창53,노론리 노산교회 ,강원도 평창군 평창읍 노론리 345,37.364877,128.436328,4,공중걷기+허리돌리기+양팔밀기+팔돌리기,가인조경,2019,평창군 평창읍사무소,033-330-2680,2022-09-30
평창54,남산등산로 공터 소규모 운동시설,강원도 평창군 평창읍 상리 산48-1,37.364411,128.393191,16,핸들웨이트+터닝트위스트+트렁크웨이트+트윈바디,㈜다지인파크개발,2008,평창군 평창읍사무소,033-330-2680,2022-09-30
평창55,하3리 소공원 야외운동기구,강원도 평창군 평창읍 하리 171-2,37.370101,128.395651,4,입식허리돌리기+공중걷기+앉아자전거타기+작은팔돌리기,가인조경,2019,평창군 평창읍사무소,033-330-2680,2022-09-30
평창56,종부둔치 야외운동기구,강원도 평창군 평창읍 종부리 742,37.346041,128.391451,4,옆파도타기+큰활차+윗몸일으키기+자전거,프로테우스,2020,평창군 평창읍사무소,033-330-2680,2022-09-30
평창57,뇌운리 야외운동기구,강원도 평창군 평창읍 뇌운리 274-1,37.416711,128.358681,4,공중걷기+달리기+로프당기기+상체근육풀기,MG스포츠,2020,평창군 평창읍사무소,033-330-2680,2022-09-30
평창58,입탄리 야외운동기구,강원도 평창군 평창읍 입탄리 20-1,37.346561,128.352441,2,파도타기+공중걷기,MG스포츠,2020,평창군 평창읍사무소,033-330-2680,2022-09-30
평창59,조둔리 야외운동기구,강원도 평창군 평창읍 조둔리 218-1,37.363241,128.359571,2,큰활차머신,MG스포츠,2020,평창군 평창읍사무소,033-330-2680,2022-09-30
평창6,하6리 향교앞 ,강원도 평창군 평창읍 하리 205-1,37.371643,128.391037,10,온몸돌리기+마라톤+하늘걷기+옆파도타기+양팔줄당기기,,2010,평창군 평창읍사무소,033-330-2680,2022-09-30
평창60,하2리 야외운동기구,강원도 평창군 평창읍 하리 410-27,37.367071,128.38145,8,달리기+허리펴자전거타기+옆으로몸통흔들기+윗몸일으키기,가인조경,2020,평창군 평창읍사무소,033-330-2680,2022-09-30
평창7,종부1리 종부빌라 앞 ,강원도 평창군 평창읍 종부리 539-1,37.357131,128.389868,8,등허리지압기+마라톤+하늘걷기+어깨근육풀기,평창종합상사,2013,평창군 평창읍사무소,033-330-2680,2022-09-30
평창8,종부1리 남산연립 앞 ,강원도 평창군 평창읍 종부리 494-4,37.364117,128.390669,4,온몸허리돌리기+마라톤,,,평창군 평창읍사무소,033-330-2680,2022-09-30
평창9,종부2리 경로당 ,강원도 평창군 평창읍 종부리 637-2,37.353776,128.393689,12,양팔줄당기기+어깨근육풀기+온몸돌리기+마라톤+옆파도타기+하늘걷기,,2010,평창군 평창읍사무소,033-330-2680,2022-09-30
대관령-19,수하리 마을회관 앞 운동기구,강원도 평창군 대관령면 수하리 6-1,37.620608,128.723423,73,하늘걷기+허리돌리기+큰팔돌리기+옆으로 몸통흔들기,㈜가인조경,2021,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-20,용산2리 마을회관 앞 운동기구,강원도 평창군 대관령면 용산리 551-4,37.635898,128.660144,40,하늘걷기+자전거타기+옆으로 몸통돌리기,㈜가인조경,2021,평창군 대관령면사무소,033-330-2103,2022-09-30
용평-10,이목정2리 야외운동기구,강원도 평창군 용평면 이목정리 600-4,37.600846,128.472488,6,큰활차머신+옆파도타기+등근육풀기+허리돌리기+양팔당기기,월드스포츠 주식회사,2021,평창군 용평면사무소,033-330-2740,2022-09-30
용평-11,백옥포리 산82 야외운동기구,강원도 평창군 용평면 백옥포리 산82,37.587954,128.385716,4,큰팔돌리기+몸통흔들기+공중걷기+허리돌리기,월드스포츠 주식회사,2021,평창군 용평면사무소,033-330-2740,2022-09-30
